query,recipe_id,publisher,source_url,image_url,social_rank,publisher_url,title,sum_cal,sum_fat,sum_carb,sum_protein
duck,ea98e9,Jamie Oliver,http://www.jamieoliver.com/recipes/other-meat-recipes/five-spice-duck-salad,http://forkify-api.herokuapp.com/images/211_1_1350898183_lrg7015.jpg,96.96173399112945,http://www.jamieoliver.com,Five spice duck salad,937.996,85.7186,20.919,5.641
duck,a19457,BBC Good Food,http://www.bbcgoodfood.com/recipes/1104641/duck-stirfry-with-ginger-and-greens,http://forkify-api.herokuapp.com/images/1104641_MEDIUM1d04.jpg,96.881328292,http://www.bbcgoodfood.com,Duck stir-fry with ginger &amp; greens,1592.3139999999999,88.779,57.661,26.533099999999997
duck,865499,Chow,http://www.chow.com/recipes/30255-duck-confit-fried-spring-rolls,http://forkify-api.herokuapp.com/images/30255_RecipeImage_620x413_duck_confit_rolls_31241.jpg,94.91791694460558,http://www.chow.com,Duck Confit Fried Spring Rolls Recipe,1253.997380328,87.2572442772,108.97823704919999,17.528040864399998
duck,48972,Bon Appetit,http://www.bonappetit.com/recipes/2012/10/duck-a-lorange,http://forkify-api.herokuapp.com/images/duckalorange646c5cf.jpg,93.40800580127782,http://www.bonappetit.com,Duck a l,220.39,1.502,48.44499999999999,7.710999999999999
duck,e6aef5,BBC Good Food,http://www.bbcgoodfood.com/recipes/1286634/five-spice-honey-duck-with-sesame-greens,http://forkify-api.herokuapp.com/images/1286634_MEDIUM67fa.jpg,93.12595838431413,http://www.bbcgoodfood.com,Five spice honey duck with sesame greens,2006.1476,200.8342,27.1308,27.028100000000002
duck,ae81b2,Chow,http://www.chow.com/recipes/12033-smoked-duck-and-cherry-pressed-sandwich,http://forkify-api.herokuapp.com/images/12033_duck_cherry_sandwich_3_620a978.jpg,91.91277799774852,http://www.chow.com,Smoked Duck and Cherry Pressed Sandwich Recipe,606.9642689036666,39.841094635000005,21.19137236463333,42.49288529566667
duck,36253,Simply Recipes,http://www.simplyrecipes.com/recipes/easy_duck_confit/,http://forkify-api.herokuapp.com/images/ghettodunkconfit300x200b3cf5d07.jpg,91.15279652003629,http://simplyrecipes.com,Easy Duck Confit,3.37,0.28,0.0,0.19
duck,35285,Closet Cooking,http://www.closetcooking.com/2011/08/duck-quesadillas-with-chipotle-cherry.html,http://forkify-api.herokuapp.com/images/Duck2BQuesadillas2Bwith2BChipotle2BCherry2BSalsa2Band2BGoat2BCheese2B5002B6365c94e95b8.jpg,90.98282751253679,http://closetcooking.com,Duck Quesadillas with Chipotle Cherry Salsa and Goat Cheese,383.258440984,14.130249850999999,51.5244,15.618609388999998
duck,db1e73,Panini Happy,http://paninihappy.com/grilled-duck-breast-club-panini/,http://forkify-api.herokuapp.com/images/GrilledDuckBreastClubPanini490f212.jpg,90.4043929936116,http://paninihappy.com/,Grilled Duck Breast Club Panini,607.6962400616,40.173465872,35.124590462,30.998599403999997
duck,6ed803,Epicurious,http://www.epicurious.com/recipes/food/views/Seared-Duck-Breast-with-Cherries-and-Port-Sauce-353376,http://forkify-api.herokuapp.com/images/3533761b82.jpg,79.85029339925785,http://www.epicurious.com,Seared Duck Breast with Cherries and Port Sauce,925.9630000000001,71.12630000000001,18.769600000000004,47.65550000000001
duck,2231d5,Epicurious,http://www.epicurious.com/recipes/food/views/Duck-a-lOrange-51117850,http://forkify-api.herokuapp.com/images/5111785010fe.jpg,79.6396580978046,http://www.epicurious.com,Duck  l'Orange,220.39,1.502,48.44499999999999,7.710999999999999
duck,26900,All Recipes,http://allrecipes.com/Recipe/Roasted-Duck/Detail.aspx,http://forkify-api.herokuapp.com/images/1005200dcd1.jpg,77.64832232339191,http://allrecipes.com,Roasted Duck,7724.8114345,643.1377180000002,0.4006,431.0767515
duck,4c1158,BBC Good Food,http://www.bbcgoodfood.com/recipes/164622/bubble-and-squeak,http://forkify-api.herokuapp.com/images/164622_MEDIUMc68c.jpg,75.83316663777752,http://www.bbcgoodfood.com,Bubble &amp; squeak,1424.751,73.334,124.428,71.289
duck,24865,All Recipes,http://allrecipes.com/Recipe/Peking-Duck/Detail.aspx,http://forkify-api.herokuapp.com/images/946502e948.jpg,74.30182519698845,http://allrecipes.com,Peking Duck,6281.998122600002,509.8952794,35.83895,349.1403512
