query,recipe_id
mandarin,9902
mandarin,20280
mandarin,35897
mandarin,3787
mandarin,13123
mandarin,566
mandarin,23797
mandarin,b2d79b
mandarin,21097
mandarin,bf36af
mandarin,34717
mandarin,30450
mandarin,7814
mandarin,31150
mandarin,892
mandarin,574073
mandarin,37064
mandarin,2162
mango,54362
mango,46901
mango,36561
mango,b07a47
mango,36560
mango,49172
mango,54483
mango,24786
mango,38748
mango,f54da9
mango,104609
mango,8d4fc7
mango,36320
mango,d1380c
mango,36452
mango,fb6ac1
mango,54472
mango,bbcc10
mango,31cc18
mango,36559
mango,4471
mango,963cb1
mango,8bf9a8
mango,380446
mango,7251a1
mango,50114
mango,47127
mango,e5ccf8
melon,cb856d
melon,46916
melon,db03b9
melon,50fc48
melon,50086
melon,29c5f0
melon,3337e5
melon,49184
melon,de82d7
melon,a66ff0
melon,22515
melon,f43818
melon,c188b5
melon,19129
melon,a41ab8
melon,c36a54
melon,34096e
melon,7c1c37
melon,59515b
melon,49052
melon,49118
melon,22516
melon,38054
melon,49178
melon,614f94
melon,50116
melon,28079
nectarine,45be6f
nectarine,11870
nectarine,49074
nectarine,39143
nectarine,9a4b9c
nectarine,7dbc38
nectarine,37937
nectarine,72bb9e
nectarine,da34a9
nectarine,1da7d9
nectarine,47835
nectarine,47573
nectarine,12959
nectarine,36445
nectarine,9f938b
nectarine,822468
nectarine,d8a3f5
nectarine,23845
nectarine,38077
nectarine,f3a4d0
nectarine,23843
nectarine,39c619
nectarine,49733
nectarine,49036
nectarine,39895
nectarine,47816
nectarine,63daa8
orange,47334
orange,46956
orange,27537
orange,46985
orange,8981
orange,34225f
orange,2ea734
orange,36335
orange,35616
orange,b47042
orange,cf7da5
orange,37496
orange,3958ba
orange,20646
orange,8e279c
orange,066913
orange,47990
orange,37478
orange,46990
orange,54425
orange,46964
orange,49630
orange,36843
orange,36139
orange,34336
orange,36887
orange,19e1a4
orange,35124
papaya,d1380c
papaya,49129
papaya,f72a17
papaya,06f4bb
papaya,7b89f8
papaya,c5880c
papaya,415703
papaya,31222
papaya,147756
papaya,5dff28
papaya,6083ef
papaya,20715
papaya,21208
papaya,b46981
papaya,18963
papaya,88b707
papaya,46e269
papaya,52924
papaya,fa0537
papaya,33192
papaya,ac2e1f
papaya,752c00
papaya,38122
papaya,837b2b
papaya,31376
papaya,5993
papaya,51747
papaya,13987
passion fruit,b45549
passion fruit,c5880c
passion fruit,496aed
passion fruit,4560
passion fruit,18cc4b
passion fruit,ae3d8e
passion fruit,79d687
passion fruit,1164e3
passion fruit,2e8967
passion fruit,9f0221
passion fruit,ecff57
passion fruit,19502
passion fruit,41326a
passion fruit,ac1c18
passion fruit,53583
passion fruit,3e389b
passion fruit,95d50a
passion fruit,89760c
passion fruit,26e1d1
passion fruit,8ab7af
passion fruit,d4484e
passion fruit,34395
passion fruit,37283
passion fruit,49808
passion fruit,316274
passion fruit,8da53d
peach,46956
peach,36482
peach,8a4c0f
peach,29613
